village_id,village,district,province,population,watershed,forest_loss,dist_stre,dist_pop_gravity_stre,dist_forest_gravity_stre,time_stre,time_pop_gravity_stre,time_forest_gravity_stre,dist_close,dist_pop_gravity_close,dist_forest_gravity_close,time_close,time_pop_gravity_close,time_forest_gravity_close,dist_between,dist_pop_gravity_between,dist_forest_gravity_between,time_between,time_pop_gravity_between,time_forest_gravity_between,dist_eigen,dist_pop_gravity_eigen,dist_forest_gravity_eigen,time_eigen,time_pop_gravity_eigen,time_forest_gravity_eigen
1606010020,LIBERTAD,CONTAMANA,UCAYALI,40,Intercuenca 49915,92.33104875,1,0.24044877327526074,0.938930154431673,1,0.2478797734420866,0.8917560088742214,1,0.8250916089816698,0.9422894553553686,0.989393975943282,0.8391082696477854,0.9418853975102595,0.5,0,0,0,0,0,1,0.5906781524808626,0.990347412840942,1,0.5686447838862577,0.9711660271339512
1606030022,MARISCAL CASTILLA,PADRE MARQUEZ,UCAYALI,360,Intercuenca 49915,46.04706125,0,0.08742162536426959,0,0,0.07075372876629693,0,0,0.618909298794845,0,0,0.5878459326812664,0,0.5,0,0,0,0,0,0,0.2062711613174695,0,0,0.15724370509727445,0
1606010001,CONTAMANA,CONTAMANA,UCAYALI,15036,Intercuenca 49915,118.38296875,0.908610721622575,1,1,0.9893873524808227,1,1,0.9814541174552882,1,1,1,1,1,0.5,1,1,1,1,1,0.945786407904088,1,1,0.9908217164522131,1,1
1606010062,VENCEDOR,CONTAMANA,UCAYALI,220,Intercuenca 49915,107.2476525,0.18695990459207382,0.0683247509628912,0.19703255562011351,0.18365172590657877,0.06176276066716624,0.1646988463408877,0.45222012573474096,0.5482027330188781,0.7376419178713313,0.3859149502271715,0.5445696342323004,0.6366128160815825,0.5,0,0.8333333333333334,0,0,0.5789473684210527,0.0577583745293281,0.15544767189117284,0.1019890393789866,0.06068082094737729,0.1328059091063354,0.08733762759856697
1606010041,NUEVO SAN JOSE,CONTAMANA,UCAYALI,119,Intercuenca 49915,69.7983225,0.4354131359093479,0.1312604091605113,0.29754411370385303,0.27323825024174947,0.09988733923354062,0.18968266300497372,0.9493027354657259,0.7145074107599803,0.6211308356966659,0.6543331038844992,0.673292765906061,0.5782817833591892,0.5,0,0,0,0,0,0.42089159826269446,0.3171616944411392,0.28341338378851944,0.2514171805147802,0.2264099813130995,0.17956142840987036
1606010031,CONTAMANILLO,CONTAMANA,UCAYALI,122,Intercuenca 49915,79.81546125000001,0.68141111221202455,0.24666066736561668,0.5224172682689615,0.6462295369634071,0.30669170021094444,0.4884556353806596,0.981186082685864,0.8265883642601394,0.8169942675340527,0.991423424493674,0.864941959555104,0.8417110728428596,0.5,0,0,0,0,0,0.6730619314465345,0.5991743693065021,0.534279254848576,0.6465316585760547,0.6987375907298634,0.5303914776811653
1606010005,ALAN GARCIA,CONTAMANA,UCAYALI,66,Intercuenca 49915,97.033515,0.2748896011461972,0.07037455936609595,0.3550546386997559,0.20491526786247363,0.04120224076055089,0.2518696544054522,0.5863228455069188,0.5783899779737682,0.8120671734007576,0.4447033659974636,0.46248963013742855,0.6826237181196293,0.5,0,0,0,0,0,0.26600642440306244,0.1722178784789059,0.3251144266033264,0.17406844676685213,0.09415104330288968,0.2144351240321386
1606040009,LIBERTAD,PAMPA HERMOSA,UCAYALI,74,Intercuenca 49915,158.76019749999998,0.14100093196808067,0.0360640786722396,0.37125302428752427,0.19173100689716127,0.04390618577646052,0.37218174429473383,0.4059436311227504,0.41121277105161913,0.941447935473184,0.41678449126598627,0.47781383116655524,0.8811721393087352,0.5,0,0.2222222222222222,0,0,0.21052631578947367,0.12221298101440159,0.0878794623565112,0.2990293431351324,0.1617197610705735,0.10016573748692176,0.31402144033376855
1606010057,SANTA ROSA DEL PISQUI,CONTAMANA,UCAYALI,200,Intercuenca 49915,46.2132975,0.19253660628860797,0.0750895541970586,0.07783977460578884,0.20295621646464004,0.07900358822291094,0.07584878283442012,0.6530364509388394,0.5734160457860438,0.362720137126971,0.6439308276007633,0.6085545059260384,0.3220092087321748,0.5,0,0,0,0,0,0.08086788175882481,0.1719508797048988,0.03410027238497658,0.09725541415301638,0.17200998642815415,0.039200400036008824
1606010074,SAN FRANCISCO,CONTAMANA,UCAYALI,39,Intercuenca 49915,44.24153875,0.07046369649147599,0,0.025108926637427295,0.09778881874298515,0,0.03207360025985453,0.08716664395002464,0,0.2590247127653074,0.15058663503047257,0,0.2715305585792111,0.5,0,0,0,0,0,0.008211907365917197,0,0.0017008335934443793,0.024420741108046474,0,0.006278153060350663
1602010069,ZAPOTE,YURIMAGUAS,ALTO AMAZONAS,132,Intercuenca Medio Bajo Huallaga,138.19524125,0.3625064702080721,0.0746281547443778,0.19279930323172503,0.11784658799037702,0.012175287088428773,0.07645751913155381,0.6921988311656073,0.8621583362130254,0.5749383965643186,0.7219839746869737,0.7994083256103934,0.7176711654498097,0,0,0.04113924050632911,0,0,0,0.25588015592424046,0.3026293820957124,0.08609047683452707,0.07856030804031786,0.03874204145342473,0.041685926620575624
1602010107,PUERTO PERU,YURIMAGUAS,ALTO AMAZONAS,307,Intercuenca Medio Bajo Huallaga,270.94771,0.7757831125942619,0.045815266210379485,0.8689083198114462,0.5584675394821356,0.05516789660763973,0.7793985314112398,0.8618509657727106,0.7538209609275965,0.971234759201508,0.9154018359948479,0.9433258969663443,0.9922457075852628,0,0,0.012658227848101266,0.07131654764013452,0,0.11904761904761904,0.7617623281205075,0.15515298391454008,0.7888232336805967,0.4337870936417697,0.16512366583240806,0.6914791220559418
