village_id,village,district,province,population,watershed,forest_loss
1602010063,NUEVO CAJAMARCA,YURIMAGUAS,ALTO AMAZONAS,161,Cuenca Paranapura,177.1934025
1602010080,SAN ROQUE,YURIMAGUAS,ALTO AMAZONAS,135,Cuenca Paranapura,232.00182125
1602010051,PUERTO LIBRE,YURIMAGUAS,ALTO AMAZONAS,70,Cuenca Paranapura,229.18341
1602010073,SAN RAFAEL,YURIMAGUAS,ALTO AMAZONAS,88,Cuenca Paranapura,239.67805875
1602010077,MICAELA BASTIDAS,YURIMAGUAS,ALTO AMAZONAS,103,Cuenca Paranapura,222.46176125
1602010057,CALLAO,YURIMAGUAS,ALTO AMAZONAS,218,Cuenca Paranapura,136.1306375
1602010050,ACHUAL LIMON,YURIMAGUAS,ALTO AMAZONAS,144,Cuenca Paranapura,161.05223125
1602010054,NUEVA VIDA,YURIMAGUAS,ALTO AMAZONAS,105,Cuenca Paranapura,178.49178999999998
1602010058,MANGUAY,YURIMAGUAS,ALTO AMAZONAS,177,Cuenca Paranapura,225.58960875
1602010048,VARADERILLO,YURIMAGUAS,ALTO AMAZONAS,114,Cuenca Paranapura,215.82186375
1602010074,TRANCA YACU,YURIMAGUAS,ALTO AMAZONAS,308,Cuenca Paranapura,127.531515
1602010053,SAN ANTONIO DE SANIYACO,YURIMAGUAS,ALTO AMAZONAS,59,Cuenca Paranapura,210.42601625
1602010104,VILLA HERMOSA,YURIMAGUAS,ALTO AMAZONAS,87,Cuenca Paranapura,149.43912375
1602010110,NUEVA ALIANZA,YURIMAGUAS,ALTO AMAZONAS,51,Cuenca Paranapura,157.98153625
1602010111,SAN FRANCISCO DE PAMPAYAC,YURIMAGUAS,ALTO AMAZONAS,107,Cuenca Paranapura,138.09169624999998
1602010112,NUEVO PIJUAYAL,YURIMAGUAS,ALTO AMAZONAS,81,Cuenca Paranapura,156.9692325
1602020054,DAMASCO,BALSAPUERTO,ALTO AMAZONAS,56,Cuenca Paranapura,130.03717875
1602020040,MOYOBAMBILLO,BALSAPUERTO,ALTO AMAZONAS,167,Cuenca Paranapura,168.00177875
1602020051,NUEVA ALIANZA,BALSAPUERTO,ALTO AMAZONAS,105,Cuenca Paranapura,145.44908375
1602020059,NUEVO MIRAFLORES,BALSAPUERTO,ALTO AMAZONAS,117,Cuenca Paranapura,173.77227125000002
1602020037,SAN GABRIEL DE VARADERO,BALSAPUERTO,ALTO AMAZONAS,780,Cuenca Paranapura,156.54710624999998
1602020058,TRES UNIDOS,BALSAPUERTO,ALTO AMAZONAS,173,Cuenca Paranapura,174.39584
1602020096,PUERTO PORVENIR,BALSAPUERTO,ALTO AMAZONAS,301,Cuenca Paranapura,16.88213625
1602020088,BELLO HORIZONTE,BALSAPUERTO,ALTO AMAZONAS,16,Cuenca Paranapura,92.10016125
1602020034,SAN JOSE DE CABALLITO,BALSAPUERTO,ALTO AMAZONAS,164,Cuenca Paranapura,169.88300375
1602020075,CANOA PUERTO,BALSAPUERTO,ALTO AMAZONAS,405,Cuenca Paranapura,108.21113749999999
1602020081,NUEVA UCHIZA,BALSAPUERTO,ALTO AMAZONAS,146,Cuenca Paranapura,151.9746275
1602020021,MARANATHA,BALSAPUERTO,ALTO AMAZONAS,209,Cuenca Paranapura,71.76009125
1602020004,LOS ANGELES,BALSAPUERTO,ALTO AMAZONAS,268,Cuenca Paranapura,91.87046624999999
1602020006,NUEVA BARRANQUITA CACHIYA,BALSAPUERTO,ALTO AMAZONAS,180,Cuenca Paranapura,94.888755
1602020008,SAN JUAN,BALSAPUERTO,ALTO AMAZONAS,149,Cuenca Paranapura,101.69551125000001
1602020087,SABALOYACU,BALSAPUERTO,ALTO AMAZONAS,25,Cuenca Paranapura,97.600025
1602020011,ATAHUALPA,BALSAPUERTO,ALTO AMAZONAS,85,Cuenca Paranapura,118.02252499999999
1602020013,PAMPA HERMOSA,BALSAPUERTO,ALTO AMAZONAS,98,Cuenca Paranapura,122.76250250000001
1602020017,LORETO,BALSAPUERTO,ALTO AMAZONAS,123,Cuenca Paranapura,139.43967625
1602020020,SAN JOSE,BALSAPUERTO,ALTO AMAZONAS,25,Cuenca Paranapura,134.0298525
1602020022,SOLEDAD,BALSAPUERTO,ALTO AMAZONAS,644,Cuenca Paranapura,177.98747
1602020025,REINO UNIDO,BALSAPUERTO,ALTO AMAZONAS,156,Cuenca Paranapura,181.9685725
1602020023,NUEVO MOYOBAMBA,BALSAPUERTO,ALTO AMAZONAS,107,Cuenca Paranapura,169.53233375000002
1602020030,VILLA ALEGRE,BALSAPUERTO,ALTO AMAZONAS,104,Cuenca Paranapura,144.8565875
1602020032,NUEVO SAN LORENZO,BALSAPUERTO,ALTO AMAZONAS,113,Cuenca Paranapura,149.4104575
1602020026,SAN  MIGUEL,BALSAPUERTO,ALTO AMAZONAS,147,Cuenca Paranapura,134.25285125
1602020031,SAN ANTONIO,BALSAPUERTO,ALTO AMAZONAS,275,Cuenca Paranapura,123.36596125000001
1602020035,BELLAVISTA,BALSAPUERTO,ALTO AMAZONAS,129,Cuenca Paranapura,212.6437025
1602020033,SANTA RITA,BALSAPUERTO,ALTO AMAZONAS,143,Cuenca Paranapura,155.75360750000002
1602020029,NUEVA ESPERANZA,BALSAPUERTO,ALTO AMAZONAS,259,Cuenca Paranapura,167.87447125
1602020067,NUEVO PROGRESO,BALSAPUERTO,ALTO AMAZONAS,151,Cuenca Paranapura,155.30999125
1602020050,CENTRO AMERICA,BALSAPUERTO,ALTO AMAZONAS,141,Cuenca Paranapura,137.52629875
1602020052,SAN PEDRO,BALSAPUERTO,ALTO AMAZONAS,152,Cuenca Paranapura,143.19349375
1602020063,SAN ISIDRO,BALSAPUERTO,ALTO AMAZONAS,65,Cuenca Paranapura,196.97124375
1602020062,SAN CARLOS,BALSAPUERTO,ALTO AMAZONAS,42,Cuenca Paranapura,174.176
1602020085,SAN LORENZO,BALSAPUERTO,ALTO AMAZONAS,126,Cuenca Paranapura,151.9403775
1602020080,SANTA ROSA,BALSAPUERTO,ALTO AMAZONAS,35,Cuenca Paranapura,143.98817
1602020076,SAN PEDRO DE POROTOYACU,BALSAPUERTO,ALTO AMAZONAS,64,Cuenca Paranapura,79.9847325
1602020003,ANTIOQUIA,BALSAPUERTO,ALTO AMAZONAS,336,Cuenca Paranapura,33.72988
1602020009,PUCALPILLO,BALSAPUERTO,ALTO AMAZONAS,157,Cuenca Paranapura,112.274225
1602020016,NARANJAL,BALSAPUERTO,ALTO AMAZONAS,88,Cuenca Paranapura,80.08046125
1602020047,SANTA CLARA,BALSAPUERTO,ALTO AMAZONAS,108,Cuenca Paranapura,186.26465625
1602020056,NUEVO CUZCO,BALSAPUERTO,ALTO AMAZONAS,78,Cuenca Paranapura,129.27587
1602020044,SAN VICENTE,BALSAPUERTO,ALTO AMAZONAS,83,Cuenca Paranapura,67.40553875
1602020061,SANTA MARTHA,BALSAPUERTO,ALTO AMAZONAS,74,Cuenca Paranapura,72.42759625000001
1602020072,PUERTO LIBRE,BALSAPUERTO,ALTO AMAZONAS,77,Cuenca Paranapura,148.9586225
1602020005,NUEVA VIDA,BALSAPUERTO,ALTO AMAZONAS,740,Cuenca Paranapura,94.68124375
1602020014,PANAN,BALSAPUERTO,ALTO AMAZONAS,465,Cuenca Paranapura,90.6516625
1602020018,PROGRESO,BALSAPUERTO,ALTO AMAZONAS,351,Cuenca Paranapura,100.88076125
1602020055,NUEVO JUNIN,BALSAPUERTO,ALTO AMAZONAS,208,Cuenca Paranapura,220.89194500000002
1602020071,NUEVA LUZ,BALSAPUERTO,ALTO AMAZONAS,152,Cuenca Paranapura,162.367355
1602020024,IRAPAY,BALSAPUERTO,ALTO AMAZONAS,135,Cuenca Paranapura,130.1264525
1602020007,LIBERTAD,BALSAPUERTO,ALTO AMAZONAS,377,Cuenca Paranapura,96.22416750000001
1602020048,MONTE ALEGRE,BALSAPUERTO,ALTO AMAZONAS,127,Cuenca Paranapura,62.50582375
1602020043,FRAY MARTIN,BALSAPUERTO,ALTO AMAZONAS,353,Cuenca Paranapura,143.23257125
1602020036,SAN MARCOS DE PILLINGUE,BALSAPUERTO,ALTO AMAZONAS,50,Cuenca Paranapura,148.30076624999998
1602020028,SAN FERNANDO,BALSAPUERTO,ALTO AMAZONAS,106,Cuenca Paranapura,160.2412575
1602020057,NUEVO SAN MARTIN,BALSAPUERTO,ALTO AMAZONAS,40,Cuenca Paranapura,55.336366250000005
1602020078,NUEVA ZARAMIRIZA,BALSAPUERTO,ALTO AMAZONAS,142,Cuenca Paranapura,5.981835
1602020077,NARANJILLO,BALSAPUERTO,ALTO AMAZONAS,38,Cuenca Paranapura,140.83208625
1602020068,SAN JUAN DE ARMANAYACU,BALSAPUERTO,ALTO AMAZONAS,47,Cuenca Paranapura,175.6668025
1602020079,NUEVO TOCACHE,BALSAPUERTO,ALTO AMAZONAS,40,Cuenca Paranapura,140.90877125
1602020089,SANTA MERCEDES,BALSAPUERTO,ALTO AMAZONAS,36,Cuenca Paranapura,90.10276999999999
1602020001,BALSAPUERTO,BALSAPUERTO,ALTO AMAZONAS,649,Cuenca Paranapura,207.54679625
1602020038,LOMA LINDA,BALSAPUERTO,ALTO AMAZONAS,183,Cuenca Paranapura,159.15443
1602010072,SAN LUIS,YURIMAGUAS,ALTO AMAZONAS,74,Cuenca Paranapura,224.1940875
1602010052,BALSAYACU,YURIMAGUAS,ALTO AMAZONAS,189,Cuenca Paranapura,211.5156075
1605010001,REQUENA,REQUENA,REQUENA,22055,Cuenca Tapiche,111.31273875000001
1605020001,SANTA ELENA,ALTO TAPICHE,REQUENA,785,Cuenca Tapiche,69.70993875
1605080001,CURINGA,SOPLIN,REQUENA,221,Cuenca Tapiche,16.15721625
1605010031,CONCORDANCIA,REQUENA,REQUENA,34,Cuenca Tapiche,45.83065
1605010026,YARINA,REQUENA,REQUENA,183,Cuenca Tapiche,92.9783375
1605010028,FRANCISCO BOLOGNESI,REQUENA,REQUENA,44,Cuenca Tapiche,75.00527375
1605010029,NUEVA UNION,REQUENA,REQUENA,76,Cuenca Tapiche,102.51166624999999
1605010030,VILLA MONTE SINAI,REQUENA,REQUENA,265,Cuenca Tapiche,47.269487500000004
1605010032,ALFA Y OMEGA,REQUENA,REQUENA,47,Cuenca Tapiche,45.43992625
1605010037,NUEVA REFORMA,REQUENA,REQUENA,153,Cuenca Tapiche,83.866555
1605010036,CRISTO REDENTOR,REQUENA,REQUENA,41,Cuenca Tapiche,48.563695
1605010039,SAN SALVADOR,REQUENA,REQUENA,40,Cuenca Tapiche,9.8441725
1605010040,CALLAO,REQUENA,REQUENA,22,Cuenca Tapiche,8.91108125
1605010038,GALICIA,REQUENA,REQUENA,131,Cuenca Tapiche,17.7907
1605010034,BELEN DE URCO,REQUENA,REQUENA,141,Cuenca Tapiche,56.42451625
1605020003,CANCHALAGUAS,ALTO TAPICHE,REQUENA,173,Cuenca Tapiche,76.44149625
1605020018,JUNIN,ALTO TAPICHE,REQUENA,1,Cuenca Tapiche,0.1220425
1605020013,PUESTO LIMA,ALTO TAPICHE,REQUENA,8,Cuenca Tapiche,3.41864375
1605020010,NUEVA ESPERANZA,ALTO TAPICHE,REQUENA,10,Cuenca Tapiche,2.4853675
1605020017,BELLAVISTA,ALTO TAPICHE,REQUENA,115,Cuenca Tapiche,12.549150000000001
1605020014,SAN ANTONIO DE FORTALEZA,ALTO TAPICHE,REQUENA,111,Cuenca Tapiche,12.549150000000001
1605020008,FATIMA,ALTO TAPICHE,REQUENA,134,Cuenca Tapiche,36.42109625
1605020009,LIMON COCHA,ALTO TAPICHE,REQUENA,178,Cuenca Tapiche,48.104986249999996
1605020006,PACASMAYO,ALTO TAPICHE,REQUENA,91,Cuenca Tapiche,15.9504175
1605080007,NUEVO CAPANAHUA,SOPLIN,REQUENA,62,Cuenca Tapiche,15.924688750000001
1605080006,EL LOBO,SOPLIN,REQUENA,103,Cuenca Tapiche,21.0769525
