province,district,village,village_id,population,river_name,hydro_name_ana,hydro_name_l6,hydro_name_l7,adef,lon,lat,degree,closeness,betweenness,eigen,d_stre,d_close,d_between,d_eigen,d_pop_grav_stre,d_pop_grav_close,d_pop_grav_between,d_pop_grav_eigen,d_adef_grav_stre,d_adef_grav_close,d_adef_grav_between,d_adef_grav_eigen,t_stre,t_close,t_between,t_eigen,t_pop_grav_stre,t_pop_grav_close,t_pop_grav_between,t_pop_grav_eigen,t_adef_grav_stre,t_adef_grav_close,t_adef_grav_between,t_adef_grav_eigen,size,order,edge_density
UCAYALI,CONTAMANA,CONTAMANILLO,1606010031,122,Qda Mashiria,Intercuenca 49915,Hydro8,Hydro71,5.75056146,-74.94590499951788,-7.410202999388176,0.5,0.5,0.5,0.5,0.8752980161201727,0.9987837606503446,0.5,0.8802973614310683,0.2579970953735894,0.6525983779140955,0,0.5203902783247745,0.5821624852290472,0.7493877452304064,0.5,0.5766156313731456,0.8951344286944722,1,0.5,0.8952167989270561,0.3232779469589009,0.6779891697831505,0,0.6069152300635833,0.5135611099921537,0.7256752607844014,0.5,0.538547527945827,36,9,1
UCAYALI,CONTAMANA,NUEVO SAN JOSE,1606010041,119,Qda Pacaya,Intercuenca 49915,Hydro8,Hydro71,7.1147905,-74.93409899888397,-7.485091000040843,0.5,0.5,0.5,0.5,0.6487562858261667,1,0.5,0.6621055604066541,0.1372190667176694,0.49602020911111994,0,0.2754836660013873,0.4503513146243255,0.7592493354863901,0.5,0.4246506620495937,0.5165005704171851,0.6906031653585505,0.5,0.5344572599716344,0.10518335519895404,0.40366516145082904,0,0.19668976139513988,0.27557508623723737,0.5659466861071177,0.5,0.2655615689708524,36,9,1
UCAYALI,CONTAMANA,ALAN GARCIA,1606010005,66,Qda Aguas Calientes,Intercuenca 49915,Hydro8,Hydro71,5.75268901,-75.07505699764383,-7.219357000222821,0.5,0.5,0.5,0.5,0.3745414668878164,0.46937918361468706,0.5,0.42617297277377636,0.0734238879704768,0.3513128085102634,0,0.14926908554776347,0.2169727485041836,0.4008477714947298,0.5,0.22615352753555512,0.32868633546527687,0.3942404907130683,0.5,0.3622091223551048,0.043244356938463846,0.2283633040701515,0,0.08159209144571351,0.1441731827576479,0.3149977789766332,0.5,0.14443494676070429,36,9,1
UCAYALI,CONTAMANA,VENCEDOR,1606010062,220,Rio Pisqui,Intercuenca 49915,Hydro8,Hydro71,6.85954782,-75.31818489390005,-7.797215180619845,0.5,0.5,0.5,0.5,0.30948952044238437,0.48437914310449515,0.5,0.16396581535519184,0.07123232158729167,0.33068945238904074,0,0.13645415768716795,0.1685762261825675,0.40424499212410875,0.5,0.10212715725511017,0.37151545609905207,0.4859399926413888,0.5,0.23836135553337362,0.0649619288916412,0.29112229238698295,0,0.11662587409427837,0.15689191407333045,0.3844188511238713,0.5,0.09854836060592227,36,9,1
UCAYALI,CONTAMANA,LIBERTAD,1606010020,40,Rio Ucayali,Intercuenca 49915,Hydro8,Hydro71,6.63723875,-74.9834092368142,-7.366395753841744,0.5,0.5,0.5,0.5,1,0.9804196517911216,0.5,1,0.2516775274341121,0.6502297099795361,0,0.5121683899848786,0.9982690874671902,0.8957909006027968,0.5,1,1,0.9763894312956228,0.5,1,0.26144307196020405,0.6306580415034077,0,0.4932759393419441,0.9385498004187001,0.8610070800969272,0.5,0.9754037855442127,36,9,1
UCAYALI,PADRE MARQUEZ,MARISCAL CASTILLA,1606030022,360,Rio Ucayali,Intercuenca 49915,Hydro8,Hydro71,4.1030095,-74.78332768155182,-8.00289333903631,0.5,0.5,0.5,0.5,0,0,0.5,0,0.09121926705552645,0.38916650180630785,0,0.17989946214570135,0,0,0.5,0,0,0,0.5,0,0.07438248715550512,0.32497838794941725,0,0.13710355779677097,0,0,0.5,0,36,9,1
UCAYALI,CONTAMANA,SAN FRANCISCO,1606010074,39,Rio Pisqui,Intercuenca 49915,Hydro8,Hydro71,5.44990416,-75.45340677294985,-7.922116679738264,0.5,0.5,0.5,0.5,0.11533805418184966,0.06633830945028259,0.5,0.04055299860058858,0,0,0,0,0.07341801303397538,0.14565309560245684,0.5,0.03876022112707405,0.20523738307227682,0.20247135087205506,0.5,0.12302440592777529,0,0,0,0,0.08369818389040136,0.1792644204610163,0.5,0.04779486733898389,36,9,1
UCAYALI,CONTAMANA,CONTAMANA,1606010001,15036,Rio Ucayali,Intercuenca 49915,Hydro8,Hydro71,7.95547628,-75.0059709917696,-7.349227048104381,0.5,0.5,0.5,0.5,0.9260829487590835,0.9406029340683525,0.5,0.9402601591425012,1,1,1,1,1,1,0.5,0.9912603707356993,0.9943029437123051,0.9735289809091988,0.5,0.9927971995626054,1,1,1,1,1,1,0.5,1,36,9,1
UCAYALI,CONTAMANA,SANTA ROSA DEL PISQUI,1606010057,200,Rio Pisqui,Intercuenca 49915,Hydro8,Hydro71,2.96821876,-75.19086372788391,-7.763678256675636,0.5,0.5,0.5,0.5,0.33288749675544993,0.720590835308816,0.5,0.20912117155606966,0.07832932481206789,0.34907798648404686,0,0.15078204909783857,0.045934584584511245,0.09210477333978748,0.5,0.022580504028451926,0.4282271798481549,0.7668600797948786,0.5,0.3174678850424109,0.0831217090129512,0.34360592488769903,0,0.150681312852551,0.056111364950114345,0.134065741196342,0.5,0.03487342668054243,36,9,1
UCAYALI,INAHUAYA,INAHUAYA,1606020001,1190,Qda Cachiyacu,Intercuenca 49913,Hydro8,Hydro70,5.71526478,-75.26065008008905,-7.115969194986446,0.5,0.5,0.5,0.5,0,0,0.5,0,0.2624590153853078,0.6279540889407426,0,0.3396796275434575,0.12153942989536591,0.20207489857626953,0.5,0.11040543970752609,0.06058983659070479,0,0.5,0.03096785382951719,0.28192157575282123,0.6200392665059565,0,0.3632077825995288,0.22544610375946386,0.2745358469267815,0.5,0.22243468206060255,2556,72,1
REQUENA,CAPELO,HUATAPI,1605030005,515,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,1.39594003,-74.0888316510282,-5.31058177581479,0.5,0.5,0.5,0.5,0.7016542977080249,0.6568628116756762,0.5,0.6637064845308579,0.1797763859708355,0.3012837117599462,0,0.1859636996234621,0.052475953047671726,0.09750219342217588,0.5,0.04677464796881924,0.6997053471878303,0.6284995338677128,0.5,0.6494991034672241,0.15494272156170338,0.25244846300143386,0,0.15615827042003,0.0885269881320749,0.12719197991012365,0.5,0.08221317795663409,2556,72,1
REQUENA,EMILIO SAN MARTIN,LAGO SAN MARCOS,1605040009,471,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,4.65205653,-74.42901639057833,-5.699598537193708,0.5,0.5,0.5,0.5,0.9850427830860523,0.9974847160031215,0.5,0.9840858332274358,0.20003300765345228,0.3428085073753993,0,0.20292716935339464,0.39631041163966085,0.6483311024814219,0.5,0.37069338841262683,0.7974111814509973,0.8311903766635169,0.5,0.8028581431682803,0.13515187909912532,0.2549557854953482,0,0.13881385757788856,0.4370347342648386,0.5724870534482488,0.5,0.43075583415624524,2556,72,1
REQUENA,EMILIO SAN MARTIN,PERLITA,1605040018,168,Rio Ucayali,Intercuenca 49913,Hydro8,Hydro76,6.5962293899999995,-74.36476189911373,-5.73452065897358,0.5,0.5,0.5,0.5,0.9776132000950375,0.983688797530557,0.5,0.9769069993530582,0.08024967036236019,0.12953651955006387,0,0.0810626535176261,0.6647621293344638,0.8934115000270704,0.5,0.6229997602105873,0.9192384954250988,0.9361091123068531,0.5,0.9218903008007289,0.06220480219940912,0.10945253441229094,0,0.06278422340448041,0.8750081166867845,0.9220093693769378,0.5,0.8647241178719859,2556,72,1
REQUENA,EMILIO SAN MARTIN,SAN JUAN DE CUMACEVA,1605040028,118,Qda Main,Intercuenca 49913,Hydro8,Hydro76,0.41686742,-74.49602120507538,-5.978236004791211,0.5,0.5,0.5,0.5,0.8054543327995136,0.8769938885050572,0.5,0.7968666398019932,0.03364544844327117,0.0616039888381911,0,0.03558182781625695,0.010414877967517088,0.019419150244285775,0.5,0.010018344988443164,0.4539416957057721,0.5386556398001934,0.5,0.4561159241144153,0.017004912175098964,0.032499281487509156,0,0.01786345335246122,0.008252397315126647,0.01204894731503826,0.5,0.00802822676292396,2556,72,1
